Ticker;YaHoo;Firm Name;Part. (%)
ALOS3;ALOS3.SA;ALLOS;0,521
ABEV3;ABEV3.SA;AMBEV S/A;2,371
ASAI3;ASAI3.SA;ASSAI;0,486
AURE3;AURE3.SA;AUREN;0,167
AZZA3;AZZA3.SA;AZZAS 2154;0,162
B3SA3;B3SA3.SA;B3;2,974
BBSE3;BBSE3.SA;BBSEGURIDADE;0,909
BBDC3;BBDC3.SA;BRADESCO;1,027
BBDC4;BBDC4.SA;BRADESCO;4,176
BRAP4;BRAP4.SA;BRADESPAR;0,204
BBAS3;BBAS3.SA;BRASIL;2,703
BRKM5;BRKM5.SA;BRASKEM;0,08
BRAV3;BRAV3.SA;BRAVA;0,308
BPAC11;BPAC11.SA;BTGP BANCO;3,054
CXSE3;CXSE3.SA;CAIXA SEGURI;0,41
CEAB3;CEAB3.SA;CEA MODAS;0,106
CMIG4;CMIG4.SA;CEMIG;0,94
COGN3;COGN3.SA;COGNA ON;0,28
CPLE6;CPLE6.SA;COPEL;1,037
CSAN3;CSAN3.SA;COSAN;0,314
CPFE3;CPFE3.SA;CPFL ENERGIA;0,351
CMIN3;CMIN3.SA;CSNMINERACAO;0,432
CURY3;CURY3.SA;CURY S/A;0,204
CVCB3;CVCB3.SA;CVC BRASIL;0,035
CYRE3;CYRE3.SA;CYRELA REALT;0,35
DIRR3;DIRR3.SA;DIRECIONAL;0,237
ELET3;ELET3.SA;ELETROBRAS;4,531
ELET6;ELET6.SA;ELETROBRAS;0,712
EMBR3;EMBR3.SA;EMBRAER;2,857
ENGI11;ENGI11.SA;ENERGISA;0,757
ENEV3;ENEV3.SA;ENEVA;1,459
EGIE3;EGIE3.SA;ENGIE BRASIL;0,461
EQTL3;EQTL3.SA;EQUATORIAL;2,095
FLRY3;FLRY3.SA;FLEURY;0,297
GGBR4;GGBR4.SA;GERDAU;1,056
GOAU4;GOAU4.SA;GERDAU MET;0,298
HAPV3;HAPV3.SA;HAPVIDA;0,463
HYPE3;HYPE3.SA;HYPERA;0,311
IGTI11;IGTI11.SA;IGUATEMI S.A;0,231
IRBR3;IRBR3.SA;IRBBRASIL RE;0,177
ISAE4;ISAE4.SA;ISA ENERGIA;0,443
ITSA4;ITSA4.SA;ITAUSA;3,024
ITUB4;ITUB4.SA;ITAUUNIBANCO;8,078
KLBN11;KLBN11.SA;KLABIN S/A;0,635
RENT3;RENT3.SA;LOCALIZA;1,697
LREN3;LREN3.SA;LOJAS RENNER;0,665
MGLU3;MGLU3.SA;MAGAZ LUIZA;0,136
POMO4;POMO4.SA;MARCOPOLO;0,265
MBRF3;MBRF3.SA;MARFRIG;0,511
BEEF3;BEEF3.SA;MINERVA;0,137
MOTV3;MOTV3.SA;MOTIVA SA;0,693
MRVE3;MRVE3.SA;MRV;0,119
MULT3;MULT3.SA;MULTIPLAN;0,398
NATU3;NATU3.SA;NATURA;0,328
PCAR3;PCAR3.SA;P.ACUCAR-CBD;0,071
PETR3;PETR3.SA;PETROBRAS;3,857
PETR4;PETR4.SA;PETROBRAS;6,052
RECV3;RECV3.SA;PETRORECSA;0,157
PRIO3;PRIO3.SA;PETRORIO;1,27
PSSA3;PSSA3.SA;PORTO SEGURO;0,393
RADL3;RADL3.SA;RAIADROGASIL;1,149
RAIZ4;RAIZ4.SA;RAIZEN;0,053
RDOR3;RDOR3.SA;REDE D OR;2,113
RAIL3;RAIL3.SA;RUMO S.A.;0,859
SBSP3;SBSP3.SA;SABESP;3,565
SANB11;SANB11.SA;SANTANDER BR;0,471
CSNA3;CSNA3.SA;SID NACIONAL;0,288
SLCE3;SLCE3.SA;SLC AGRICOLA;0,144
SMFT3;SMFT3.SA;SMART FIT;0,501
SUZB3;SUZB3.SA;SUZANO S.A.;1,43
TAEE11;TAEE11.SA;TAESA;0,367
VIVT3;VIVT3.SA;TELEF BRASIL;1,124
TIMS3;TIMS3.SA;TIM;0,877
TOTS3;TOTS3.SA;TOTVS;1,017
UGPA3;UGPA3.SA;ULTRAPAR;1,005
USIM5;USIM5.SA;USIMINAS;0,104
VALE3;VALE3.SA;VALE;12,139
VAMO3;VAMO3.SA;VAMOS;0,075
VBBR3;VBBR3.SA;VIBRA;1,193
VIVA3;VIVA3.SA;VIVARA S.A.;0,169
WEGE3;WEGE3.SA;WEG;2,733
YDUQ3;YDUQ3.SA;YDUQS PART;0,152
